instacart_product_id,product,size,category,price_basis,stores_available,local_image,source_image_url,pcc_price,pcc_original_price,pcc_sale,pcc_instacart_url,metro_price,metro_original_price,metro_sale,metro_instacart_url,safeway_price,safeway_original_price,safeway_sale,safeway_instacart_url,qfc_price,qfc_original_price,qfc_sale,qfc_instacart_url
16294119,"Justin's Classic Almond Butter, 1.15 OZ",1.15 oz,Dairy & Eggs,per item,2,/images/16294119.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a230bd20-c24b-4590-9426-a66cf502657a.jpg",1.79,,false,https://www.instacart.com/products/16294119-justin-s-almond-butter-classic-1-15-oz?retailerSlug=pcc-community-markets,1.59,,false,https://www.instacart.com/products/16294119-justin-s-almond-butter-classic-1-15-oz?retailerSlug=metropolitan-market,,,,,,,,
124065,"Justin's Classic Almond Butter, 16 OZ",16 oz,Dairy & Eggs,per item,4,/images/124065.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a7ac31d4-dcfd-4aa4-a8dd-fc5bca22661c.jpg",13.99,,false,https://www.instacart.com/products/124065-justin-s-classic-almond-butter-16-oz?retailerSlug=pcc-community-markets,14.99,,false,https://www.instacart.com/products/124065-justin-s-classic-almond-butter-16-oz?retailerSlug=metropolitan-market,16.99,,false,https://www.instacart.com/products/124065-justin-s-classic-almond-butter-16-oz?retailerSlug=safeway,15.39,,false,https://www.instacart.com/products/124065-justin-s-classic-almond-butter-16-oz?retailerSlug=qfc
97597,"Justin's Classic Peanut Butter Spread, 16 OZ",16 oz,Dairy & Eggs,per item,4,/images/97597.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6a5fb901-2114-4a4f-b272-38ab631097de.jpg",5.59,,false,https://www.instacart.com/products/97597-justin-s-classic-peanut-butter-spread-16-oz?retailerSlug=pcc-community-markets,6.89,,false,https://www.instacart.com/products/97597-justin-s-classic-peanut-butter-spread-16-oz?retailerSlug=metropolitan-market,7.99,,false,https://www.instacart.com/products/97597-justin-s-classic-peanut-butter-spread-16-oz?retailerSlug=safeway,6.99,,false,https://www.instacart.com/products/97597-justin-s-classic-peanut-butter-spread-16-oz?retailerSlug=qfc
17837298,"Justin's Classic Peanut Butter Spread, 28 OZ",28 oz,Dairy & Eggs,per item,2,/images/17837298.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_64619d8c-7ac3-4d06-a745-eeed915e035b.jpg",,,,,9.99,,false,https://www.instacart.com/products/17837298-justin-s-classic-peanut-butter-spread-794-0-g?retailerSlug=metropolitan-market,10.99,,false,https://www.instacart.com/products/17837298-justin-s-classic-peanut-butter-spread-794-0-g?retailerSlug=safeway,,,,
79946,Justin's Classic Peanut Butter Squeeze Pack,1.15 oz,Dairy & Eggs,per item,2,/images/79946.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d01ea047-0156-43f7-af22-64001985734b.png",0.99,,false,https://www.instacart.com/products/79946-justin-s-peanut-butter-classic-1-15-oz?retailerSlug=pcc-community-markets,1.59,,false,https://www.instacart.com/products/79946-justin-s-peanut-butter-classic-1-15-oz?retailerSlug=metropolitan-market,,,,,,,,
2588253,"Justin's Dark Chocolate Peanut Butter Mini Cup, 4.7 OZ",4.7 oz,Dairy & Eggs,per item,2,/images/2588253.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ceed5d3d-57f3-4918-8a0a-292daf610981.jpg",7.99,,false,https://www.instacart.com/products/2588253-justin-s-peanut-butter-cups-organic-dark-chocolate-mini-4-7-oz?retailerSlug=pcc-community-markets,9.29,,false,https://www.instacart.com/products/2588253-justin-s-peanut-butter-cups-organic-dark-chocolate-mini-4-7-oz?retailerSlug=metropolitan-market,,,,,,,,
23047,"Justin's Honey Peanut Butter Spread, 16 OZ",16 oz,Dairy & Eggs,per item,3,/images/23047.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fbbe660c-30be-402b-80a2-5bff33adff47.jpg",5.59,,false,https://www.instacart.com/products/23047-justin-s-honey-peanut-butter-spread-16-0-oz?retailerSlug=pcc-community-markets,6.89,,false,https://www.instacart.com/products/23047-justin-s-honey-peanut-butter-spread-16-0-oz?retailerSlug=metropolitan-market,,,,,6.99,,false,https://www.instacart.com/products/23047-justin-s-honey-peanut-butter-spread-16-0-oz?retailerSlug=qfc
287999,Justin's Honey Peanut Butter Squeeze Pack,1.15 oz,Dairy & Eggs,per item,2,/images/287999.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_28ed233b-4ffc-405e-863d-5ef1d43d6cd8.png",0.99,,false,https://www.instacart.com/products/287999-justin-s-peanut-butter-blend-honey-1-15-oz?retailerSlug=pcc-community-markets,1.59,,false,https://www.instacart.com/products/287999-justin-s-peanut-butter-blend-honey-1-15-oz?retailerSlug=metropolitan-market,,,,,,,,
26677,Justin's Organic Dark Chocolate Peanut Butter Cups,1.4 oz,Dairy & Eggs,per item,3,/images/26677.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b5e0b9ee-bc0f-4379-b4ae-738fec297a91.jpg",2.99,,false,https://www.instacart.com/products/26677-justin-s-organic-dark-chocolate-peanut-butter-cups-2-ct?retailerSlug=pcc-community-markets,3.19,,false,https://www.instacart.com/products/26677-justin-s-organic-dark-chocolate-peanut-butter-cups-2-ct?retailerSlug=metropolitan-market,,,,,2.99,,false,https://www.instacart.com/products/26677-justin-s-organic-dark-chocolate-peanut-butter-cups-2-ct?retailerSlug=qfc
2584361,"Justin's Peanut Butter Cups, Organic, Milk Chocolate, Mini",4.7 oz,Dairy & Eggs,per item,2,/images/2584361.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_925967a2-1213-472a-831f-a4ba7baf7077.png",7.99,,false,https://www.instacart.com/products/2584361-justin-s-mini-peanut-butter-cups-milk-chocolate-4-7-oz?retailerSlug=pcc-community-markets,9.29,,false,https://www.instacart.com/products/2584361-justin-s-mini-peanut-butter-cups-milk-chocolate-4-7-oz?retailerSlug=metropolitan-market,,,,,,,,
